GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
canteen,tqs.homework.canteen.Cache,Cache,0,111,0,8,0,21,0,8,0,4
canteen,tqs.homework.canteen.controller,RestaurantController,0,124,1,3,0,22,1,7,0,6
canteen,tqs.homework.canteen.controller,WeatherController,0,66,0,0,0,15,0,4,0,4
canteen,tqs.homework.canteen.controller,ReservationController,0,119,0,0,0,22,0,7,0,7
canteen,tqs.homework.canteen.controller,MenuController,0,79,0,0,0,18,0,6,0,6
canteen,tqs.homework.canteen.config,ExceptionHandlers.ErrorResponse,0,9,0,0,0,1,0,1,0,1
canteen,tqs.homework.canteen.config,ExceptionHandlers,0,69,0,0,0,23,0,5,0,5
canteen,tqs.homework.canteen.services,WeatherService,0,303,4,14,0,59,4,10,0,5
canteen,tqs.homework.canteen.services,RestaurantService,0,26,0,0,0,5,0,5,0,5
canteen,tqs.homework.canteen.services,ReservationService,0,205,0,12,0,47,0,17,0,11
canteen,tqs.homework.canteen.services,MenuService,1,331,2,24,0,56,2,27,0,16
canteen,tqs.homework.canteen,CanteenApplication,5,3,0,0,2,1,1,1,1,1
canteen,tqs.homework.canteen.EnumTypes,MealType,29,35,4,0,4,8,3,3,1,3
canteen,tqs.homework.canteen.EnumTypes,MenuTime,8,49,2,2,1,10,2,4,0,4
canteen,tqs.homework.canteen.EnumTypes,ReservationStatus,29,35,4,0,4,8,3,3,1,3
canteen,tqs.homework.canteen.entities,Meal,0,17,0,0,0,6,0,1,0,1
canteen,tqs.homework.canteen.entities,Reservation,0,23,0,0,0,7,0,2,0,2
canteen,tqs.homework.canteen.entities,Menu,0,21,0,0,0,7,0,1,0,1
canteen,tqs.homework.canteen.entities,Restaurant,0,17,0,0,0,6,0,1,0,1
